HOSPITAL_NAME,CITY,STATE,COUNTRY
CENTURA HEALTH-ST MARY CORWIN MEDICAL CENTER,PUEBLO,CO,USA
SCOTTSDALE THOMPSON PEAK MEDICAL CENTER,SCOTTSDALE,AZ,USA
STANISLAUS SURGICAL HOSPITAL,MODESTO,CA,USA
ENCINO HOSPITAL MEDICAL CENTER,ENCINO,CA,USA
CORAL GABLES HOSPITAL,CORAL GABLES,FL,USA
MERCY GILBERT MEDICAL CENTER,GILBERT,AZ,USA
DOCTORS HOSPITAL OF MANTECA,MANTECA,CA,USA
NAPLES COMMUNITY HOSPITAL,NAPLES,FL,USA
ALAMEDA HOSPITAL,ALAMEDA,CA,USA
ST VINCENT'S MEDICAL CENTER SOUTHSIDE,JACKSONVILLE,FL,USA
VENICE REGIONAL MEDICAL CENTER - BAYFRONT HEALTH,VENICE,FL,USA
REGIONAL MEDICAL CENTER OF SAN JOSE,SAN JOSE,CA,USA
WATSONVILLE COMMUNITY HOSPITAL,WATSONVILLE,CA,USA
"ARKANSAS HEART HOSPITAL, LLC",LITTLE ROCK,AR,USA
CALHOUN-LIBERTY HOSPITAL,BLOUNTSTOWN,FL,USA
GEORGE WASHINGTON UNIV HOSPITAL,WASHINGTON,DC,USA
COLORADO CANYONS HOSPITAL AND MEDICAL CENTER,FRUITA,CO,USA
DENVER HEALTH MEDICAL CENTER,DENVER,CO,USA
PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,SAN PEDRO,CA,USA
RADY CHILDREN'S HOSPITAL - SAN DIEGO,SAN DIEGO,CA,USA
EL CAMINO HOSPITAL,MOUNTAIN VIEW,CA,USA
BAXTER REGIONAL MEDICAL CENTER,MOUNTAIN HOME,AR,USA
CAPE CORAL HOSPITAL,CAPE CORAL,FL,USA
HI-DESERT MEDICAL CENTER,JOSHUA TREE,CA,USA
"MOUNTAIN VISTA MEDICAL CENTER, LP",MESA,AZ,USA
SENECA DISTRICT HOSPITAL,CHESTER,CA,USA
BAYHEALTH - KENT GENERAL HOSPITAL,DOVER,DE,USA
ARKANSAS SURGICAL HOSPITAL,NO LITTLE ROCK,AR,USA
MAMMOTH HOSPITAL,MAMMOTH LAKES,CA,USA
ALASKA REGIONAL HOSPITAL,ANCHORAGE,AK,USA
SAN LEANDRO HOSPITAL,SAN LEANDRO,CA,USA
FISHERMEN'S HOSPITAL,MARATHON,FL,USA
ORCHARD HOSPITAL,GRIDLEY,CA,USA
CLOVIS COMMUNITY MEDICAL CENTER,CLOVIS,CA,USA
MERCY HOSPITAL BERRYVILLE,BERRYVILLE,AR,USA
CENTURA HEALTH-ST ANTHONY HOSPITAL,LAKEWOOD,CO,USA
WEST HILLS HOSPITAL & MEDICAL CENTER,WEST HILLS,CA,USA
SANTA ROSA MEMORIAL HOSPITAL,SANTA ROSA,CA,USA
MAYO CLINIC HOSPITAL,PHOENIX,AZ,USA
CENTRAL PENINSULA GENERAL HOSPITAL,SOLDOTNA,AK,USA
ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,BERKELEY,CA,USA
ST VINCENT'S EAST,BIRMINGHAM,AL,USA
MOUNTAINS COMMUNITY HOSPITAL,LAKE ARROWHEAD,CA,USA
BIBB MEDICAL CENTER,CENTREVILLE,AL,USA
METHODIST HOSPITAL OF SOUTHERN CA,ARCADIA,CA,USA
SAN RAMON REGIONAL MEDICAL CTR,SAN RAMON,CA,USA
CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,DENVER,CO,USA
LAKE CITY MEDICAL CENTER,LAKE CITY,FL,USA
PARRISH MEDICAL CENTER,TITUSVILLE,FL,USA
ALHAMBRA HOSPITAL MEDICAL CENTER,ALHAMBRA,CA,USA
ST VINCENT HOSPITAL GENERAL DISTRICT,LEADVILLE,CO,USA
SUTTER MATERNITY & SURGERY CENTER OF SANTA CRUZ,SANTA CRUZ,CA,USA
SUTTER LAKESIDE HOSPITAL,LAKEPORT,CA,USA
SAN ANTONIO REGIONAL HOSPITAL,UPLAND,CA,USA
POMERADO HOSPITAL,POWAY,CA,USA
MONTCLAIR HOSPITAL MEDICAL CENTER,MONTCLAIR,CA,USA
WASHINGTON HOSPITAL,FREMONT,CA,USA
UNIVERSITY OF MIAMI HOSPITAL,MIAMI,FL,USA
SUTTER DAVIS HOSPITAL,DAVIS,CA,USA
ROSELAND COMMUNITY HOSPITAL,CHICAGO,IL,USA
ABRAZO MARYVALE CAMPUS,PHOENIX,AZ,USA
BAYFRONT HEALTH - ST PETERSBURG,SAINT PETERSBURG,FL,USA
FLORIDA HOSPITAL WAUCHULA,WAUCHULA,FL,USA
EASTERN PLUMAS HOSPITAL - PORTOLA CAMPUS,PORTOLA,CA,USA
GENESIS MEDICAL CENTER-DEWITT,DEWITT,IA,USA
LAKESIDE MEDICAL CENTER,BELLE GLADE,FL,USA
ST ANTHONYS HOSPITAL,SAINT PETERSBURG,FL,USA
BROWARD HEALTH MEDICAL CENTER,FORT LAUDERDALE,FL,USA
SOUTH PENINSULA HOSPITAL,HOMER,AK,USA
BAPTIST MEDICAL CENTER JACKSONVILLE,JACKSONVILLE,FL,USA
MEMORIAL HOSPITAL PEMBROKE,PEMBROKE PINES,FL,USA
JFK MEDICAL CENTER,ATLANTIS,FL,USA
ST BERNARD HOSPITAL,CHICAGO,IL,USA
MIDSTATE MEDICAL CENTER,MERIDEN,CT,USA
HIALEAH HOSPITAL,HIALEAH,FL,USA
STRINGFELLOW MEMORIAL HOSPITAL,ANNISTON,AL,USA
SHARON HOSPITAL,SHARON,CT,USA
BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,TUCSON,AZ,USA
OSCEOLA REGIONAL MEDICAL CENTER,KISSIMMEE,FL,USA
DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,USA
FEATHER RIVER HOSPITAL,PARADISE,CA,USA
HOWARD UNIVERSITY HOSPITAL,WASHINGTON,DC,USA
ANDALUSIA REGIONAL HOSPITAL,ANDALUSIA,AL,USA
MARIN GENERAL HOSPITAL,GREENBRAE,CA,USA
GLENN MEDICAL CENTER,WILLOWS,CA,USA
CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP,SAN FRANCISCO,CA,USA
SOUTH MISSISSISSPI COUNTY REGIONAL MEDICAL CENTER,OSCEOLA,AR,USA
PALMETTO GENERAL HOSPITAL,HIALEAH,FL,USA
NICKLAUS CHILDREN'S HOSPITAL,MIAMI,FL,USA
MOBILE INFIRMARY MEDICAL CENTER,MOBILE,AL,USA
FRESNO HEART AND SURGICAL HOSPITAL,FRESNO,CA,USA
MERCY HOSPITAL OF FOLSOM,FOLSOM,CA,USA
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",BESSEMER,AL,USA
LAKE BUTLER HOSPITAL,LAKE BUTLER,FL,USA
ANNE BATES LEACH EYE HOSPITAL,MIAMI,FL,USA
"MAYO CLINIC HEALTH SYSTEM IN WAYCROSS, INC",WAYCROSS,GA,USA
JACK HUGHSTON MEMORIAL HOSPITAL,PHENIX CITY,AL,USA
SAN LUIS VALLEY HEALTH CONEJOS COUNTY HOSPITAL,LA JARA,CO,USA
ANAHEIM GLOBAL MEDICAL CENTER,ANAHEIM,CA,USA
GREAT RIVER MEDICAL CENTER,BLYTHEVILLE,AR,USA
RIDGECREST REGIONAL HOSPITAL,RIDGECREST,CA,USA
KAISER FOUNDATION HOSPITAL - WOODLAND HILLS,WOODLAND HILLS,CA,USA
HIGHLANDS REGIONAL MEDICAL CENTER,SEBRING,FL,USA
MARSHALL MEDICAL CENTER,PLACERVILLE,CA,USA
SAINT MARYS HOSPITAL,WATERBURY,CT,USA
MEASE COUNTRYSIDE HOSPITAL,SAFETY HARBOR,FL,USA
FOOTHILL REGIONAL MEDICAL CENTER,TUSTIN,CA,USA
BRANDON REGIONAL HOSPITAL,BRANDON,FL,USA
SKY RIDGE MEDICAL CENTER,LONE TREE,CO,USA
RIO GRANDE HOSPITAL,DEL NORTE,CO,USA
REDMOND REGIONAL MEDICAL CENTER,ROME,GA,USA
ST HELENA HOSPITAL,SAINT HELENA,CA,USA
ST. MARY'S HOSPITAL,TUCSON,AZ,USA
KAISER FOUNDATION HOSPITAL - BALDWIN PARK,BALDWIN PARK,CA,USA
HUNTSVILLE HOSPITAL,HUNTSVILLE,AL,USA
VISTA MEDICAL CENTER EAST,WAUKEGAN,IL,USA
COPPER QUEEN COMMUNITY HOSPITAL,BISBEE,AZ,USA
CORONA REGIONAL MEDICAL CENTER,CORONA,CA,USA
SPARKS MEDICAL CENTER - VAN BUREN,VAN BUREN,AR,USA
LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,LOMA LINDA,CA,USA
HAZEL HAWKINS MEMORIAL HOSPITAL,HOLLISTER,CA,USA
MODOC MEDICAL CENTER,ALTURAS,CA,USA
FIVE RIVERS MEDICAL CENTER,POCAHONTAS,AR,USA
ESTES PARK MEDICAL CENTER,ESTES PARK,CO,USA
COLLEGE MEDICAL CENTER,LONG BEACH,CA,USA
SAINT FRANCIS MEMORIAL HOSPITAL,SAN FRANCISCO,CA,USA
UF HEALTH JACKSONVILLE,JACKSONVILLE,FL,USA
MENLO PARK SURGICAL HOSPITAL,MENLO PARK,CA,USA
SIERRA VISTA REGIONAL MEDICAL CENTER,SAN LUIS OBISPO,CA,USA
BANNER DESERT MEDICAL CENTER,MESA,AZ,USA
LEE MEMORIAL HOSPITAL,FORT MYERS,FL,USA
TAHOE FOREST HOSPITAL,TRUCKEE,CA,USA
COOSA VALLEY MEDICAL CENTER,SYLACAUGA,AL,USA
DOCTORS MEDICAL CENTER,MODESTO,CA,USA
SOUTHWEST MEMORIAL HOSPITAL,CORTEZ,CO,USA
SAINT AGNES MEDICAL CENTER,FRESNO,CA,USA
SAINT ANTHONY HOSPITAL,CHICAGO,IL,USA
BAPTIST MEDICAL CENTER - NASSAU,FERNANDINA BEACH,FL,USA
BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,MALVERN,AR,USA
PARADISE VALLEY HOSPITAL,NATIONAL CITY,CA,USA
WHITE MEMORIAL MEDICAL CENTER,LOS ANGELES,CA,USA
HUHU KAM MEMORIAL HOSPITAL,SACATON,AZ,USA
KEEFE MEMORIAL HOSPITAL,CHEYENNE WELLS,CO,USA
MEDSTAR WASHINGTON HOSPITAL CENTER,WASHINGTON,DC,USA
STONE COUNTY MEDICAL CENTER,MOUNTAIN VIEW,AR,USA
WRAY COMMUNITY DISTRICT HOSPITAL,WRAY,CO,USA
SPANISH PEAKS REGIONAL HEALTH CENTER,WALSENBURG,CO,USA
MEMORIAL HOSPITAL LOS BANOS,LOS BANOS,CA,USA
LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE,FORT PIERCE,FL,USA
HOLMES REGIONAL MEDICAL CENTER,MELBOURNE,FL,USA
TWIN CITIES COMMUNITY HOSPITAL,TEMPLETON,CA,USA
KAISER FOUNDATION HOSPITAL-SAN JOSE,SAN JOSE,CA,USA
NANTICOKE MEMORIAL HOSPITAL,SEAFORD,DE,USA
MERCY GENERAL HOSPITAL,SACRAMENTO,CA,USA
NORTH SUBURBAN MEDICAL CENTER,THORNTON,CO,USA
SEVEN RIVERS REGIONAL MEDICAL CENTER,CRYSTAL RIVER,FL,USA
NORTHWEST MEDICAL CENTER,TUCSON,AZ,USA
"HOSPITAL OF CENTRAL CONNECTICUT, THE",NEW BRITAIN,CT,USA
ADVENTIST MEDICAL CENTER - CENTRAL VALLEY,HANFORD,CA,USA
LUCILE SALTER PACKARD CHILDREN'S HSP AT STANFORD,PALO ALTO,CA,USA
BAPTIST HOSPITAL OF MIAMI,MIAMI,FL,USA
MCKEE MEDICAL CENTER,LOVELAND,CO,USA
CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES,COLORADO SPRINGS,CO,USA
BAPTIST HEALTH MEDICAL CENTER HEBER SPINGS,HEBER SPRINGS,AR,USA
BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,PHOENIX,AZ,USA
PROVIDENCE KODIAK ISLAND MEDICAL CTR,KODIAK,AK,USA
BEEBE MEDICAL CENTER,LEWES,DE,USA
TULARE REGIONAL MEDICAL CENTER,TULARE,CA,USA
MARK TWAIN MEDICAL CENTER,SAN ANDREAS,CA,USA
ATMORE COMMUNITY HOSPITAL,ATMORE,AL,USA
SALINE MEMORIAL HOSPITAL,BENTON,AR,USA
LAKELAND REGIONAL MEDICAL CENTER,LAKELAND,FL,USA
ORO VALLEY HOSPITAL,ORO VALLEY,AZ,USA
WEST PALM HOSPITAL,WEST PALM BEACH,FL,USA
KAISER FOUNDATION HOSPITAL - SOUTH BAY,HARBOR CITY,CA,USA
EAST ALABAMA MEDICAL CENTER,OPELIKA,AL,USA
KERN VALLEY HEALTHCARE DISTRICT,LAKE ISABELLA,CA,USA
OROVILLE HOSPITAL,OROVILLE,CA,USA
L V STABLER MEMORIAL HOSPITAL,GREENVILLE,AL,USA
DELTA COUNTY MEMORIAL HOSPITAL,DELTA,CO,USA
KAISER FOUNDATION HOSPITAL - LOS ANGELES,LOS ANGELES,CA,USA
UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER,SAN DIEGO,CA,USA
SHANDS LIVE OAK REGIONAL MEDICAL CENTER,LIVE OAK,FL,USA
BANNER DEL E WEBB MEDICAL CENTER,SUN CITY WEST,AZ,USA
THOMAS HOSPITAL,FAIRHOPE,AL,USA
HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,AL,USA
SIERRA NEVADA MEMORIAL HOSPITAL,GRASS VALLEY,CA,USA
SUTTER TRACY COMMUNITY HOSPITAL,TRACY,CA,USA
DOCTORS HOSPITAL,AUGUSTA,GA,USA
SOUTHERN INYO HOSPITAL,LONE PINE,CA,USA
BAYFRONT HEALTH PORT CHARLOTTE,PORT CHARLOTTE,FL,USA
PIH HOSPITAL - DOWNEY,DOWNEY,CA,USA
LA PAZ REGIONAL HOSPITAL,PARKER,AZ,USA
NORTH OKALOOSA MEDICAL CENTER,CRESTVIEW,FL,USA
LAKEWOOD REGIONAL MEDICAL CENTER,LAKEWOOD,CA,USA
STAMFORD HOSPITAL,STAMFORD,CT,USA
KAISER FOUNDATION HOSPITAL AND REHAB CENTER,VALLEJO,CA,USA
DOCTORS HOSPITAL OF SARASOTA,SARASOTA,FL,USA
SANTA BARBARA COTTAGE HOSPITAL,SANTA BARBARA,CA,USA
COALINGA REGIONAL MEDICAL CENTER,COALINGA,CA,USA
MASONICARE HEALTH CENTER,WALLINGFORD,CT,USA
PEACEHEALTH KETCHIKAN MEDICAL CENTER,KETCHIKAN,AK,USA
SONOMA VALLEY HOSPITAL,SONOMA,CA,USA
LITTLE RIVER MEMORIAL HOSPITAL,ASHDOWN,AR,USA
PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,NAPLES,FL,USA
MEMORIAL MEDICAL CENTER,MODESTO,CA,USA
SOUTH BALDWIN REGIONAL MEDICAL CENTER,FOLEY,AL,USA
WADLEY REGIONAL MEDICAL CENTER AT HOPE,HOPE,AR,USA
JOHNSON MEMORIAL HOSPITAL,STAFFORD SPRINGS,CT,USA
SACRED HEART HOSPITAL ON THE EMERALD COAST,MIRAMAR BEACH,FL,USA
SARASOTA MEMORIAL HOSPITAL,SARASOTA,FL,USA
D W MCMILLAN MEMORIAL HOSPITAL,BREWTON,AL,USA
BANNER HEART HOSPITAL,MESA,AZ,USA
ORTHOCOLORADO HOSPITAL AT ST ANTHONY MED CAMPUS,LAKEWOOD,CO,USA
CRENSHAW COMMUNITY HOSPITAL,LUVERNE,AL,USA
PHOENIX CHILDREN'S HOSPITAL,PHOENIX,AZ,USA
LAWRENCE MEMORIAL HOSPITAL,WALNUT RIDGE,AR,USA
GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER,HAWAIIAN GARDENS,CA,USA
MARION REGIONAL MEDICAL CENTER,HAMILTON,AL,USA
COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA,VENTURA,CA,USA
CHANDLER REGIONAL MEDICAL CENTER,CHANDLER,AZ,USA
MEDICAL CENTER BARBOUR,EUFAULA,AL,USA
SHRINERS HOSPITALS FOR CHILDREN NORTHERN CALIF,SACRAMENTO,CA,USA
REGIONAL GENERAL HOSPITAL WILLISTON,WILLISTON,FL,USA
ED FRASER MEMORIAL HOSPITAL,MACCLENNY,FL,USA
WEISBROD MEMORIAL COUNTY HOSPITAL,EADS,CO,USA
DESERT REGIONAL MEDICAL CENTER,PALM SPRINGS,CA,USA
PLANTATION GENERAL HOSPITAL,PLANTATION,FL,USA
SHELBY BAPTIST MEDICAL CENTER,ALABASTER,AL,USA
VAIL VALLEY MEDICAL CENTER,VAIL,CO,USA
MIDWESTERN REGION MED CENTER,ZION,IL,USA
LAKE WALES MEDICAL CENTER,LAKE WALES,FL,USA
MEMORIAL HOSPITAL JACKSONVILLE,JACKSONVILLE,FL,USA
SHOALS HOSPITAL,MUSCLE SHOALS,AL,USA
FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER,FOUNTAIN VALLEY,CA,USA
POMONA VALLEY HOSPITAL MEDICAL CENTER,POMONA,CA,USA
UF HEALTH SHANDS HOSPITAL,GAINESVILLE,FL,USA
MENIFEE VALLEY MEDICAL CENTER,SUN CITY,CA,USA
ST ANTHONY SUMMIT MEDICAL CENTER,FRISCO,CO,USA
KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHE,ANAHEIM,CA,USA
SONOMA WEST MEDICAL CENTER,SEBASTOPOL,CA,USA
FLOWERS HOSPITAL,DOTHAN,AL,USA
WASHINGTON REGIONAL MEDICAL CENTER,FAYETTEVILLE,AR,USA
"ALL CHILDREN'S HOSPITAL, INC",SAINT PETERSBURG,FL,USA
YAVAPAI REGIONAL MEDICAL CENTER,PRESCOTT,AZ,USA
BARTLETT REGIONAL HOSPITAL,JUNEAU,AK,USA
PIKES PEAK REGIONAL HOSPITAL,WOODLAND PARK,CO,USA
FLORIDA HOSPITAL DELAND,DELAND,FL,USA
MEMORIAL HOSPITAL MIRAMAR,MIRAMAR,FL,USA
HALE COUNTY HOSPITAL,GREENSBORO,AL,USA
WEST BOCA MEDICAL CENTER,BOCA RATON,FL,USA
ORANGE COUNTY GLOBAL MEDICAL CENTER,SANTA ANA,CA,USA
HEMET VALLEY MEDICAL CENTER,HEMET,CA,USA
OLYMPIA MEDICAL CENTER,LOS ANGELES,CA,USA
LEESBURG REGIONAL MEDICAL CENTER,LEESBURG,FL,USA
DELTA MEMORIAL HOSPITAL,DUMAS,AR,USA
HARTFORD HOSPITAL,HARTFORD,CT,USA
MAD RIVER COMMUNITY HOSPITAL,ARCATA,CA,USA
FLORIDA HOSPITAL NORTH PINELLAS,TARPON SPRINGS,FL,USA
SHRINERS HOSPITALS FOR CHILDREN,LOS ANGELES,CA,USA
COAST PLAZA HOSPITAL,NORWALK,CA,USA
RIVERSIDE UNIVERSITY HEALTH SYSTEM-MEDICAL CENTER,MORENO VALLEY,CA,USA
"SUTTER MEDICAL CENTER, SACRAMENTO",SACRAMENTO,CA,USA
SHRINERS HOSPITALS FOR CHILDREN-TAMPA,TAMPA,FL,USA
BANNER GATEWAY MEDICAL CENTER,GILBERT,AZ,USA
SOUTH FLORIDA BAPTIST HOSPITAL,PLANT CITY,FL,USA
SAN DIMAS COMMUNITY HOSPITAL,SAN DIMAS,CA,USA
RIVERSIDE COMMUNITY HOSPITAL,RIVERSIDE,CA,USA
MARICOPA MEDICAL CENTER,PHOENIX,AZ,USA
MT. GRAHAM REGIONAL MEDICAL CENTER,SAFFORD,AZ,USA
NORTHRIDGE MEDICAL CENTER,COMMERCE,GA,USA
SPRINGHILL MEMORIAL HOSPITAL,MOBILE,AL,USA
CAPE CANAVERAL HOSPITAL,COCOA BEACH,FL,USA
CLARKE COUNTY HOSPITAL,OSCEOLA,IA,USA
ALVARADO HOSPITAL MEDICAL CENTER,SAN DIEGO,CA,USA
BARSTOW COMMUNITY HOSPITAL,BARSTOW,CA,USA
ST FRANCIS HOSPITAL & MEDICAL CENTER,HARTFORD,CT,USA
"CHRISTIANA CARE HEALTH SERVICES, INC.",NEWARK,DE,USA
ST VINCENT MEDICAL CENTER/NORTH,SHERWOOD,AR,USA
GRAND RIVER MEDICAL CENTER,RIFLE,CO,USA
LODI MEMORIAL HOSPITAL,LODI,CA,USA
SHARP CHULA VISTA MEDICAL CENTER,CHULA VISTA,CA,USA
FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER,SEBRING,FL,USA
CHAMBERS MEMORIAL HOSPITAL,DANVILLE,AR,USA
MENA REGIONAL HEALTH SYSTEM,MENA,AR,USA
FLORIDA HOSPITAL WATERMAN,TAVARES,FL,USA
PALMS WEST HOSPITAL,LOXAHATCHEE,FL,USA
BOCA RATON REGIONAL HOSPITAL,BOCA RATON,FL,USA
"CORE INSTITUTE SPECIALTY HOSPITAL, THE",PHOENIX,AZ,USA
FAWCETT MEMORIAL HOSPITAL,PORT CHARLOTTE,FL,USA
CALIFORNIA HOSPITAL MEDICAL CENTER LA,LOS ANGELES,CA,USA
LA PALMA INTERCOMMUNITY HOSPITAL,LA PALMA,CA,USA
HAXTUN HOSPITAL DISTRICT,HAXTUN,CO,USA
BARROW REGIONAL MEDICAL CENTER,WINDER,GA,USA
STERLING REGIONAL MEDCENTER,STERLING,CO,USA
DESERT VALLEY HOSPITAL,VICTORVILLE,CA,USA
MERCY HOSPITAL BOONEVILLE,BOONEVILLE,AR,USA
MANCHESTER MEMORIAL HOSPITAL,MANCHESTER,CT,USA
FLORIDA HOSPITAL MEMORIAL MEDICAL CENTER,DAYTONA BEACH,FL,USA
FRENCH HOSPITAL MEDICAL CENTER,SAN LUIS OBISPO,CA,USA
VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,SELMA,AL,USA
SHANDS LAKE SHORE REGIONAL MEDICAL CENTER,LAKE CITY,FL,USA
ADVENTIST LA GRANGE MEMORIAL HOSPITAL,LA GRANGE,IL,USA
NORTHSIDE HOSPITAL CHEROKEE,CANTON,GA,USA
PROMISE HOSPITAL OF MIAMI,MIAMI LAKES,FL,USA
WESTCHESTER GENERAL HOSPITAL,MIAMI,FL,USA
UNION GENERAL HOSPITAL,BLAIRSVILLE,GA,USA
ENGLEWOOD COMMUNITY HOSPITAL,ENGLEWOOD,FL,USA
LOWER KEYS MEDICAL CENTER,KEY WEST,FL,USA
KAISER FOUNDATION HOSPITAL - SACRAMENTO,SACRAMENTO,CA,USA
KECK HOSPITAL OF USC,LOS ANGELES,CA,USA
CONWAY REGIONAL MEDICAL CENTER,CONWAY,AR,USA
LAKELAND COMMUNITY HOSPITAL,HALEYVILLE,AL,USA
REGIONAL MEDICAL CENTER BAYONET POINT,HUDSON,FL,USA
WALKER BAPTIST MEDICAL CENTER,JASPER,AL,USA
PICKENS COUNTY MEDICAL CENTER,CARROLLTON,AL,USA
NORTON SOUND REGIONAL HOSPITAL,NOME,AK,USA
MCGEHEE HOSPITAL,MCGEHEE,AR,USA
LAC/OLIVE VIEW-UCLA MEDICAL CENTER,SYLMAR,CA,USA
JACKSON MEDICAL CENTER,JACKSON,AL,USA
PIEDMONT HENRY HOSPITAL,STOCKBRIDGE,GA,USA
NORTHWEST MEDICAL CENTER-SPRINGDALE,SPRINGDALE,AR,USA
WHITE RIVER MEDICAL CENTER,BATESVILLE,AR,USA
HANCOCK COUNTY HEALTH SYSTEM,BRITT,IA,USA
ABRAZO CENTRAL CAMPUS,PHOENIX,AZ,USA
WEST FLORIDA HOSPITAL,PENSACOLA,FL,USA
WHITTIER HOSPITAL MEDICAL CENTER,WHITTIER,CA,USA
MONTEREY PARK HOSPITAL,MONTEREY PARK,CA,USA
BAY MEDICAL CENTER SACRED HEART HEALTH SYSTEM,PANAMA CITY,FL,USA
CEDARS-SINAI MEDICAL CENTER,LOS ANGELES,CA,USA
KAISER FOUNDATION HOSPITAL - WEST LA,LOS ANGELES,CA,USA
BETHESDA HOSPITAL EAST,BOYNTON BEACH,FL,USA
VALLEYCARE MEDICAL CENTER,PLEASANTON,CA,USA
PROVIDENCE SEWARD HOSPITAL,SEWARD,AK,USA
SOUTHERN REGIONAL MEDICAL CENTER,RIVERDALE,GA,USA
ST HELENA HOSPITAL-CLEARLAKE,CLEARLAKE,CA,USA
EMANUEL MEDICAL CENTER,TURLOCK,CA,USA
MEMORIAL HOSPITAL OF TAMPA,TAMPA,FL,USA
TAMPA GENERAL HOSPITAL,TAMPA,FL,USA
ST VINCENT'S BIRMINGHAM,BIRMINGHAM,AL,USA
OAK HILL HOSPITAL,BROOKSVILLE,FL,USA
BEAR VALLEY COMMUNITY HOSPITAL,BIG BEAR LAKE,CA,USA
CULLMAN REGIONAL MEDICAL CENTER,CULLMAN,AL,USA
MOUNT SINAI MEDICAL CENTER,MIAMI BEACH,FL,USA
SOUTH LAKE HOSPITAL,CLERMONT,FL,USA
VALLEY PRESBYTERIAN HOSPITAL,VAN NUYS,CA,USA
CHILDREN'S HOSPITAL NMC,WASHINGTON,DC,USA
ENLOE MEDICAL CENTER,CHICO,CA,USA
COLISEUM MEDICAL CENTERS,MACON,GA,USA
GREEN VALLEY HOSPITAL,GREEN VALLEY,AZ,USA
HEALTHMARK REGIONAL MEDICAL CENTER,DEFUNIAK SPRINGS,FL,USA
LAWRENCE MEDICAL CENTER,MOULTON,AL,USA
ARKANSAS METHODIST MEDICAL CENTER,PARAGOULD,AR,USA
EAST MORGAN COUNTY HOSPITAL,BRUSH,CO,USA
NORTHERN COCHISE COMMUNITY HOSPITAL,WILLCOX,AZ,USA
WIREGRASS MEDICAL CENTER,GENEVA,AL,USA
PAGE HOSPITAL,PAGE,AZ,USA
CHEROKEE MEDICAL CENTER,CENTRE,AL,USA
MIDTOWN MEDICAL CENTER,COLUMBUS,GA,USA
RMC JACKSONVILLE,JACKSONVILLE,AL,USA
PLUMAS DISTRICT HOSPITAL,QUINCY,CA,USA
TUCSON MEDICAL CENTER,TUCSON,AZ,USA
BAKERSFIELD MEMORIAL HOSPITAL,BAKERSFIELD,CA,USA
CENTURA HEALTH-LITTLETON ADVENTIST HOSPITAL,LITTLETON,CO,USA
EAST LOS ANGELES DOCTORS HOSPITAL,LOS ANGELES,CA,USA
MOTION PICTURE & TELEVISION HOSPITAL,WOODLAND HILLS,CA,USA
BENSON HOSPITAL,BENSON,AZ,USA
LUTHERAN MEDICAL CENTER,WHEAT RIDGE,CO,USA
SWEDISH MEDICAL CENTER,ENGLEWOOD,CO,USA
ST VINCENTS MEDICAL CENTER - CLAY COUNTY,MIDDLEBURG,FL,USA
TORRANCE MEMORIAL MEDICAL CENTER,TORRANCE,CA,USA
GROSSMONT HOSPITAL,LA MESA,CA,USA
SIERRA VIEW MEDICAL CENTER,PORTERVILLE,CA,USA
HOUSTON MEDICAL CENTER,WARNER ROBINS,GA,USA
FLORIDA HOSPITAL FLAGLER,PALM COAST,FL,USA
SPARKS REGIONAL MEDICAL CENTER,FORT SMITH,AR,USA
MERCY HOSPITAL TURNER MEMORIAL,OZARK,AR,USA
MONTROSE MEMORIAL HOSPITAL,MONTROSE,CO,USA
CHAPMAN GLOBAL MEDICAL CENTER,ORANGE,CA,USA
MILLER CHILDREN'S HOSPITAL,LONG BEACH,CA,USA
MIDDLESEX HOSPITAL,MIDDLETOWN,CT,USA
UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL,COLORADO SPRINGS,CO,USA
CASTLE ROCK ADVENTIST HOSPITAL,CASTLE ROCK,CO,USA
NORTH GEORGIA MEDICAL CENTER,ELLIJAY,GA,USA
BAPTIST MEDICAL CENTER-PRINCETON,BIRMINGHAM,AL,USA
